iter	Passed	Remaining
0	12	12639
1	24	12187
2	36	12028
3	47	11838
4	58	11622
5	69	11551
6	81	11533
7	93	11585
8	105	11577
9	116	11519
10	129	11615
11	140	11594
12	151	11527
13	162	11477
14	174	11451
15	185	11423
16	196	11370
17	207	11312
18	218	11271
19	229	11244
20	240	11207
21	251	11192
22	263	11179
23	274	11158
24	285	11132
25	296	11107
26	307	11081
27	318	11069
28	330	11050
29	341	11028
30	353	11046
31	365	11042
32	376	11020
33	387	10997
34	399	11007
35	411	11014
36	421	10977
37	433	10985
38	445	10978
39	456	10957
40	468	10957
41	480	10964
42	492	10958
43	504	10960
44	516	10958
45	528	10955
46	539	10934
47	551	10932
48	563	10938
49	576	10951
50	588	10953
51	600	10945
52	612	10936
53	623	10921
54	634	10907
55	647	10908
56	658	10892
57	670	10884
58	681	10876
59	693	10860
60	704	10837
61	716	10834
62	728	10833
63	739	10818
64	751	10806
65	763	10802
66	774	10790
67	786	10778
68	797	10762
69	808	10746
70	820	10734
71	831	10720
72	842	10700
73	854	10696
74	866	10689
75	878	10685
76	889	10661
77	900	10644
78	913	10651
79	925	10641
80	937	10636
81	949	10629
82	961	10619
83	972	10607
84	984	10597
85	995	10580
86	1007	10572
87	1018	10558
88	1029	10542
89	1041	10535
90	1052	10512
91	1064	10502
92	1075	10487
93	1086	10473
94	1097	10455
95	1109	10446
96	1121	10439
97	1133	10434
98	1145	10423
99	1157	10413
100	1169	10406
101	1181	10400
102	1192	10387
103	1204	10376
104	1215	10362
105	1227	10351
106	1239	10341
107	1250	10325
108	1261	10312
109	1273	10307
110	1285	10293
111	1297	10284
112	1309	10275
113	1320	10262
114	1332	10251
115	1343	10236
116	1355	10228
117	1367	10221
118	1379	10212
119	1391	10202
120	1402	10190
121	1414	10178
122	1425	10166
123	1437	10158
124	1449	10149
125	1460	10133
126	1472	10123
127	1484	10112
128	1495	10094
129	1506	10085
130	1518	10074
131	1531	10071
132	1543	10060
133	1554	10047
134	1566	10039
135	1580	10038
136	1591	10025
137	1603	10017
138	1615	10008
139	1627	9999
140	1639	9989
141	1650	9974
142	1661	9958
143	1673	9945
144	1684	9933
145	1695	9918
146	1706	9904
147	1718	9890
148	1730	9881
149	1740	9865
150	1753	9857
151	1765	9848
152	1777	9838
153	1789	9828
154	1801	9818
155	1813	9810
156	1824	9798
157	1836	9787
158	1848	9774
159	1859	9762
160	1871	9750
161	1882	9739
162	1895	9732
163	1907	9723
164	1918	9708
165	1929	9695
166	1941	9683
167	1953	9675
168	1965	9665
169	1978	9657
170	1991	9652
171	2003	9644
172	2014	9628
173	2026	9618
174	2038	9608
175	2050	9597
176	2061	9587
177	2073	9575
178	2084	9558
179	2094	9543
180	2105	9528
181	2117	9517
182	2129	9506
183	2141	9497
184	2153	9488
185	2165	9478
186	2176	9463
187	2188	9451
188	2199	9438
189	2211	9428
190	2223	9416
191	2234	9404
192	2246	9393
193	2258	9384
194	2270	9374
195	2282	9362
196	2293	9349
197	2306	9341
198	2318	9330
199	2329	9316
200	2341	9305
201	2353	9296
202	2364	9283
203	2377	9275
204	2389	9265
205	2400	9253
206	2412	9241
207	2424	9230
208	2435	9219
209	2448	9209
210	2460	9200
211	2472	9189
212	2483	9176
213	2494	9161
214	2505	9149
215	2517	9138
216	2530	9130
217	2542	9119
218	2554	9109
219	2565	9097
220	2577	9085
221	2588	9071
222	2599	9059
223	2611	9045
224	2622	9031
225	2632	9017
226	2644	9005
227	2655	8992
228	2666	8977
229	2678	8967
230	2689	8953
231	2701	8941
232	2712	8929
233	2724	8919
234	2735	8905
235	2747	8893
236	2758	8882
237	2770	8870
238	2782	8858
239	2795	8850
240	2807	8840
241	2818	8828
242	2830	8818
243	2844	8812
244	2855	8800
245	2867	8790
246	2879	8778
247	2890	8764
248	2902	8754
249	2914	8743
250	2925	8730
251	2937	8719
252	2949	8709
253	2961	8698
254	2972	8684
255	2983	8669
256	2995	8660
257	3007	8650
258	3020	8640
259	3031	8628
260	3044	8619
261	3056	8609
262	3068	8599
263	3080	8586
264	3091	8575
265	3103	8563
266	3114	8551
267	3126	8539
